Nombre del archivo,Nombre del documento,Área,Fuente,Fuente - URL,Nº Páginas,Formato,Tipo,Descripción,Nº Tablas,Nº Imágenes
BOE-A-2007-13409-consolidado.pdf,Estatuto del trabajo autónomo,Trabajo y Seguridad Social,BOE,https://www.boe.es/eli/es/l/2007/07/11/20/con,,,,,,
CELEX_32003L0088_ES_TXT.pdf,ordenación del tiempo de trabajo,Trabajo y Seguridad Social,Eur-lex,http://data.europa.eu/eli/dir/2003/88/oj,,,,,,
guia_firma_electronica.pdf,Guía de firma electrónica,Sede electrónica,BOE,https://sede.agenciatributaria.gob.es/Sede/ayuda/consultas-informaticas/firma-digital-sistema-clave-pin-tecnica/informacion-pasos-obtencion-certificado-electronico.html,,PDF,Texto + imágenes,,,
BOE-A-1998-16718-consolidado.pdf,Ley de Jurisdicción Contencioso-Administrativa,Administración pública,BOE,https://www.boe.es/buscar/act.php?id=BOE-A-1998-16718,,PDF,Texto,,,
BOE-A-1889-4763-consolidado.pdf,Código Civil,Administración pública,BOE,https://www.boe.es/eli/es/rd/1889/07/24/(1)/con,,,,,,
BOE-A-2015-7391-consolidado.pdf,Ley de Jurisdicción Voluntaria,Administración pública,BOE,https://www.boe.es/eli/es/l/2015/07/02/15/con,,,,"Adopciones, tutelas, etc.",,
BOE-A-2015-3442-consolidado.pdf,Ley de Seguridad Ciudadana (Ley Mordaza),Administración pública,BOE,https://www.boe.es/buscar/act.php?id=BOE-A-2015-3442,,PDF,Texto,Muy buscada para entender multas y derechos en la vía pública.,,
ANM2026_197.pdf,Ordenanza municipal ZBE Madrid,Administración pública,BOE,https://sede.madrid.es/portal/site/tramites/menuitem.5dd4485239c96e10f7a72106a8a409a0/?vgnextoid=869e9f757ed6f710VgnVCM1000001d4a900aRCRD&vgnextchannel=6b3d814231ede410VgnVCM1000000b205a0aRCRD&vgnextfmt=default,,PDF,Texto,,,
cellar_439cd3a7-fd3c-4da7-8bf4-b0f60600c1d6.0005.02_DOC_1.pdf,Derecho de los Pasajeros,Administración pública,BOE,http://data.europa.eu/eli/reg/2004/261/oj,,,,,,
BOE-A-1885-6627-consolidado.pdf,Código de Comercio,Administración pública,BOE,BOE-A-1885-6627 Real Decreto de 22 de agosto de 1885 por el que se publica el Código de Comercio.,,,,,,
BOE-A-2024-2248.pdf,Decreto de Empadronamiento,Administración pública,BOE,https://www.boe.es/eli/es/rd/2024/02/06/141,,,,,,
BOE-A-2004-18911-consolidado.pdf,Ley sobre responsabilidad civil y seguro en la circulación de vehículos a motor,Administración pública,BOE,https://www.boe.es/eli/es/rdlg/2004/10/29/8/con,,,,,,
BOE-A-2002-22188-consolidado.pdf,Ley de Autonomía del Paciente,Salud y dependencia,BOE,https://www.boe.es/eli/es/l/2002/11/14/41/con,,PDF,,,,
BOE-A-2006-21990-consolidado.pdf,Ley de la Dependencia,Salud y dependencia,BOE,https://www.boe.es/eli/es/l/2006/12/14/39/con,,PDF,,,,
BOE-A-1030-2006-consolidado.pdf,Guía de Prestaciones de la Cartera Común del SNS,Salud y dependencia,BOE,https://www.sanidad.gob.es/profesionales/prestacionesSanitarias/CarteraDeServicios/home.htm,,PDF,Text,Qué tratamientos cubre y cuáles no la sanidad pública.,,
CELEX_32010D0424(09)_ES_TXT.pdf,Tarjeta Sanitaria Europea,Salud y dependencia,Eur-lex,Decisión - 12 June 2009 - ES - EUR-Lex,,,Texto+imagenes,,,
BOE-A-2003-10715-consolidado.pdf,Ley de Cohesión y Calidad del Sistema Nacional de Salud,Salud y dependencia,BOE,https://www.boe.es/eli/es/l/2003/05/28/16/con,,PDF,,,,
BOE-A-2023-7936.pdf,Ley de Bienestar Animal,Legislación Animal y Medio Ambiente,BOE,https://www.boe.es/buscar/doc.php?id=BOE-A-2023-7936,,PDF,Texto,Muy actual y con muchísima demanda de información sobre obligaciones de dueños de mascotas.,,
OJ_L_202400825_ES_TXT.pdf,Directiva de Alegaciones Ambientales (Venda de Productos),Legislación Animal y Medio Ambiente,Eur-lex,http://data.europa.eu/eli/dir/2024/825/oj,,,,,,
BOE-A-2018-16673-consolidado.pdf,Ley Orgánica de Protección de Datos y Garantía de Derechos Digitales (LOPDGDD),Protección de datos y Derechos Digitales,BOE,https://www.boe.es/eli/es/lo/2018/12/05/3/con,,,,,,
guia-cookies.pdf,Guía sobre el uso de Cookies y Privacidad de la AEPD,Protección de datos y Derechos Digitales,Eur-lex,guia-cookies.pdf,,,,,,
CELEX_32022R2065_ES_TXT.pdf,Reglamento de Servicios Digitales,Protección de datos y Derechos Digitales,Eur-lex,http://data.europa.eu/eli/reg/2022/2065/oj,,,,,,
CELEX_32016R0679_ES_TXT.pdf,Reglamento general de protección de datos,Protección de datos y Derechos Digitales,Eur-lex,https://eur-lex.europa.eu/eli/reg/2016/679/oj,,,,,,
CELEX_32022R1925_ES_TXT.pdf,Reglamento de Mercados Digitales,Protección de datos y Derechos Digitales,Eur-lex,http://data.europa.eu/eli/reg/2022/1925/oj,,,,,,
OJ_L_202401799_ES_TXT.pdf,Derecho a Reparar,Derechos de clientes y consumidores,Eur-lex,http://data.europa.eu/eli/dir/2024/1799/oj,,,,,,
OJ_L_202502052_ES_TXT.pdf,Reglamento de Fuentes de Alimentación Externas,Derechos de clientes y consumidores,Eur-lex,"Reglamento (UE) 2025/2052 de la Comisión, de 13 de octubre de 2025, por el que se establecen requisitos de diseño ecológico aplicables a las fuentes de alimentación externas, los cargadores inalámbricos, las bases de carga inalámbrica, los cargadores de pilas o baterías para pilas portátiles de uso general y los cables USB Type-C, con arreglo a la Directiva 2009/125/CE del Parlamento Europeo y del Consejo, y por el que se deroga el Reglamento (UE) 2019/1782 de la Comisión",,,,,,
BOE-A-2007-20555-consolidado.pdf,Estatuto del Consumidor en el Comercio Electrónico,Derechos de clientes y consumidores,BOE,https://www.boe.es/eli/es/rdlg/2007/11/16/1/con,,,,,,
Manual_práctico_de_Renta_2025._Parte_1..pdf,Manual de la Renta 2025. Parte 1,Fiscalidad y Hacienda,Agencia Tributaria,https://sede.agenciatributaria.gob.es/Sede/ayuda/manuales-videos-folletos/manuales-practicos/manual-practico-renta-2025.html,,PDF,Texto,,,
Manual_práctico_de_Renta_2025._Parte_2._Deducciones_autonómicas.pdf,Manual de la Renta 2025. Parte 2,Fiscalidad y Hacienda,Agencia Tributaria,https://sede.agenciatributaria.gob.es/Sede/ayuda/manuales-videos-folletos/manuales-practicos/manual-practico-renta-2025.html,,PDF,Texto,,,
BOE-030_Ley_General_Tributaria_y_sus_reglamentos.pdf,Ley General Tributaria,Fiscalidad y Hacienda,BOE,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=030_Ley_General_Tributaria_y_sus_reglamentos&tipo=C&modo=2,,PDF,Texto,,,
Manual-de-Reformas-de-Vehiculos-Revision-7-Correcion-2.pdf,Manual de Reforma de Vehículos,Tráfico y Movilidad,Ministerio Industria,https://www.aeca-itv.com/wp-content/uploads/2026/02/Manual-de-Reformas-de-Vehiculos-Revision-7-Correcion-2.pdf,,PDF,Texto,,,
BOE-120_Codigo_de_Legislacion_Ferroviaria.pdf,Código de Legislación Ferroviaria,Tráfico y Movilidad,BOE,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=120_Codigo_de_Legislacion_Ferroviaria&tipo=C&modo=2,,PDF,Texto,,,
BOE-108_Codigo_de_Derecho_de_la_Navegacion_Maritima_y_Aerea.pdf,Código de Derecho de la Navegación Marítima y Aérea,Tráfico y Movilidad,BOE,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=108_Codigo_de_Derecho_de_la_Navegacion_Maritima_y_Aerea&tipo=C&modo=2,,PDF,Texto,,,
BOE-256_Codigo_de_Legislacion_Aeroportuaria.pdf,Código de Legislación Aeroportuaria,Tráfico y Movilidad,BOE,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=256_Codigo_de_Legislacion_Aeroportuaria&tipo=C&modo=2,,PDF,Texto,,,
BOE-605_Codigo_de_Derecho_de_los_Viajeros.pdf,Código de Derecho de los Viajeros,Tráfico y Movilidad,BOE,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=605_Codigo_de_Derecho_de_los_Viajeros&tipo=C&modo=2,,PDF,Texto,,,
BOE-327_Codigo_del_Transporte_de_Mercancias_por_Carretera.pdf,Código del Transporte de Mercancías por Carretera,Tráfico y Movilidad,BOE,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=327_Codigo_del_Transporte_de_Mercancias_por_Carretera&tipo=C&modo=2,,PDF,Texto,,,
BOE-110_Codigo_de_las_Telecomunicaciones.pdf,Código de las Telecomunicaciones,Tráfico y Movilidad,BOE,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=110_Codigo_de_las_Telecomunicaciones&tipo=C&modo=2,,PDF,Texto,,,
BOE-168_Codigo_de_Derecho_Audiovisual.pdf,Código de Derecho Audiovisual,Tráfico y Movilidad,BOE,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=168_Codigo_de_Derecho_Audiovisual&tipo=C&modo=2,,PDF,Texto,,,
BOE-020_Codigo_de_Trafico_y_Seguridad_Vial.pdf,Código de Tráfico y Seguridad Vial,Tráfico y Movilidad,BOE - DGT,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?modo=2&id=020_Codigo_de_Trafico_y_Seguridad_Vial,,PDF,Texto,,,
BOE-607_Codigo_de_Aeronaves_Ultraligeras_ULM_y_Drones_UAS.pdf,Código de Aeronaves Ultraligeras (ULM) y Drones (UAS),Tráfico y Movilidad,BOE,https://www.boe.es/biblioteca_juridica/codigos/codigo.php?id=607_Codigo_de_Aeronaves_Ultraligeras_ULM_y_Drones_UAS&tipo=C&modo=2,,PDF,Texto,,,
Manual_Tiempos_optimos.pdf,Manual de Tiempos Óptimos de incapacidad Temparal,Trabajo y Seguridad Social,Seguridad Social,https://www.seg-social.es/wps/wcm/connect/wss/d24cc76a-e1f4-49b6-b36f-fb8fc00a32a7/Manual+Tiempos+%C3%93ptimos+IT_Castellano_v4.0_+Accesibilidad.pdf?MOD=AJPERES&CVID,,PDF,Texto,,,
BOE-042_Codigo_de_Derecho_Constitucional.pdf,Código Derecho Constitucional,Administración pública,BOE,BOE.es - Código de Derecho Constitucional,,,,,,
BOE-A-2003-23514-consolidado.pdf,Reglamento General de Circulación,Tráfico y Movilidad,BOE,https://www.boe.es/buscar/act.php?id=BOE-A-2003-23514,,PDF,Texto,,,
VMP-DIGITAL.pdf,Poster Vehículos Movilidad Personal (VMP),Tráfico y Movilidad,DGT,https://www.dgt.es/nuestros-servicios/tu-vehiculo/vehiculos-de-movilidad-personal-vmp/,1,PDF,Póster,,,
